Sort,Planted,index,NIR_plate,experiment code,note1,Culture Number,Genotype,Isolate,NIR_plate_kernels,kernels,Positions,indexed,Seed treatment 1,Seed treatment 2,Date planted,Time watered,Base Soil Type,Honeycomb media,Rack,camera,Tray Position,Emergence Temperature,Date Transfer to emergence temperature,Time Transfer to 24C,Date time,initial picture date,initial picture time,Date Time,image capture interval (min),images captured,Time Between Transfer and first Picture (hrs),iplant directory,Colaborator,Handscored,HandScore_Location,ForImageProcessing,ForImageProcessing_Note,
64,no,20160627_tray2,,NAM parents,,15A-6201,Ki11,Ki11,NA,42,A07:G12,no,24C,primed; microcell,20170627,14:19,SunGro MM 930 Rsi,Playground Sand,1,1,distal,24,20170627,14.39,6/27/2017 14:39,20170628,15:35,6/28/2017 15:35,30,250,24.93,/iplant/home/jgustin/20160628_Camera1,NA,no,,no,NA,
65,no,20160627_tray3,,NAM parents,,15A-6216,Ky21,Ky21,NA,42,A01:G06,no,24C,non-primed,20170627,14:19,SunGro MM 930 Rsi,Playground Sand,1,3,proximal,24,20170627,14.39,6/27/2017 14:39,20170628,15:35,6/28/2017 15:35,30,250,24.93,/iplant/home/jgustin/20160628_Camera3,NA,no,,no,NA,
66,no,20160627_tray3,,NAM parents,,15A-6216,Ky21,Ky21,NA,42,A07:G12,no,24C,primed; microcell,20170627,14:19,SunGro MM 930 Rsi,Playground Sand,1,3,proximal,24,20170627,14.39,6/27/2017 14:39,20170628,15:35,6/28/2017 15:35,30,250,24.93,/iplant/home/jgustin/20160628_Camera3,NA,no,,no,NA,
67,no,20160627_tray4,,NAM parents,,15A-6192,Mo37W,Mo37W,NA,42,A01:G06,no,24C,non-primed,20170627,14:19,SunGro MM 930 Rsi,Playground Sand,1,3,distal,24,20170627,14.39,6/27/2017 14:39,20170628,15:35,6/28/2017 15:35,30,250,24.93,/iplant/home/jgustin/20160628_Camera3,NA,no,,no,NA,
68,no,20160627_tray4,,NAM parents,,15A-6192,Mo37W,Mo37W,NA,42,A07:G12,no,24C,primed; microcell,20170627,14:19,SunGro MM 930 Rsi,Playground Sand,1,3,distal,24,20170627,14.39,6/27/2017 14:39,20170628,15:35,6/28/2017 15:35,30,250,24.93,/iplant/home/jgustin/20160628_Camera3,NA,no,,no,NA,
69,no,20160627_tray5,,NAM parents,,15A-6202,M162W,M162W,NA,42,A01:G06,no,24C,non-primed,20170704,14:19,SunGro MM 930 Rsi,Playground Sand,1,5,proximal,24,20170627,14.39,6/27/2017 14:39,20170628,15:35,6/28/2017 15:35,30,250,24.93,/iplant/home/jgustin/20160628_Camera5,NA,no,,no,NA,
70,no,20160627_tray5,,NAM parents,,15A-6202,M162W,M162W,NA,42,A07:G12,no,24C,primed; microcell,20170627,14:19,SunGro MM 930 Rsi,Playground Sand,1,5,proximal,24,20170627,14.39,6/27/2017 14:39,20170628,15:35,6/28/2017 15:35,30,250,24.93,/iplant/home/jgustin/20160628_Camera5,NA,no,,no,NA,
71,no,20160627_tray6,,NAM parents,,15A-6190,Mo17,Mo17,NA,42,A01:G06,no,24C,non-primed,20170627,14:19,SunGro MM 930 Rsi,Playground Sand,1,5,distal,24,20170627,14.39,6/27/2017 14:39,20170628,15:35,6/28/2017 15:35,30,250,24.93,/iplant/home/jgustin/20160628_Camera5,NA,no,,no,NA,
72,no,20160627_tray6,,NAM parents,,15A-6190,Mo17,Mo17,NA,42,A07:G12,no,24C,primed; microcell,20170627,14:19,SunGro MM 930 Rsi,Playground Sand,1,5,distal,24,20170627,14.39,6/27/2017 14:39,20170628,15:35,6/28/2017 15:35,30,250,24.93,/iplant/home/jgustin/20160628_Camera5,NA,no,,no,NA,
73,no,20160629_tray1,,NAM parents,,15A-6207,Mo18W,Mo18W,NA,42,A01:G06,no,10C ,primed; microcell,20170629,11:00,SunGro MM 930 Rsi,Playground Sand,1,2,proximal,24,20170704,14:35,7/4/2017 14:35,20170705,15:53,7/5/2017 15:53,30,250,25.3,/iplant/home/jgustin/20160705_Camera2,NA,no,,no,NA,
74,no,20160629_tray1,,NAM parents,,15A-6207,Mo18W,Mo18W,NA,42,A07:G12,no,10C ,non-primed,20170629,11:00,SunGro MM 930 Rsi,Playground Sand,1,2,proximal,24,20170704,14:35,7/4/2017 14:35,20170705,15:53,7/5/2017 15:53,30,250,25.3,/iplant/home/jgustin/20160705_Camera2,NA,no,,no,NA,
75,no,20160629_tray2,,NAM parents,,15A-6193,Ms71,Ms71,NA,42,A01:G06,no,10C ,primed; microcell,20170629,11:00,SunGro MM 930 Rsi,Playground Sand,1,2,distal,24,20170704,14:35,7/4/2017 14:35,20170705,15:53,7/5/2017 15:53,30,250,25.3,/iplant/home/jgustin/20160705_Camera2,NA,no,,no,NA,
